Timestamp,Temperatura(C),Umidade(%),PPM_CO2
2025-06-02 12:05:21.704,24.3804429868,65.401779447,400.0
2025-06-02 12:10:21.704,23.5308659844,62.3207985364,400.0
2025-06-02 12:15:21.704,22.9926963215,62.5381188621,400.0
2025-06-02 12:20:21.704,23.2413655245,62.2524587596,400.0
2025-06-02 12:25:21.704,24.9851430366,63.1558933594,400.0
2025-06-02 12:30:21.704,24.3384431162,59.8519240949,400.0
2025-06-02 12:35:21.704,25.0345573099,61.1367689189,400.0
2025-06-02 12:40:21.704,25.031840312900002,62.2109976649,400.0
2025-06-02 12:45:21.704,25.15767873,61.2638229717,400.0
2025-06-02 12:50:21.704,25.1237368643,60.0194421661,400.0
2025-06-02 12:55:21.704,25.3202934191,61.4073367614,400.0
2025-06-02 13:00:21.704,24.7198927284,62.4005013747,400.0
2025-06-02 13:05:21.704,24.8278672842,60.7382854625,400.0
2025-06-02 13:10:21.704,25.2199843781,57.3970219,400.0
2025-06-02 13:15:21.704,24.8867218149,59.5791850548,400.0
2025-06-02 13:20:21.704,25.3478053306,57.8097727282,400.0
2025-06-02 13:25:21.704,24.9920485279,54.6867234646,400.0
2025-06-02 13:30:21.704,26.396520213,51.8884409135,400.0
2025-06-02 13:35:21.704,26.7029188943,54.2067524524,400.0
2025-06-02 13:40:21.704,26.2005041816,53.2378608986,400.0
2025-06-02 13:45:21.704,27.5464152391,53.8160352239,400.0
2025-06-02 13:50:21.704,25.9492126663,51.4752970555,400.0
2025-06-02 13:55:21.704,26.6424066645,51.8868562162,400.0
2025-06-02 14:00:21.704,27.645238649,51.5434936053,400.0
2025-06-02 14:05:21.704,26.2807141096,53.4556629771,400.0
2025-06-02 14:10:21.704,27.3618485702,51.8583500823,400.0
2025-06-02 14:15:21.704,27.3681463245,47.0158692482,400.0
2025-06-02 14:20:21.704,26.975274512,51.3370628314,400.0
2025-06-02 14:25:21.704,26.6387897385,48.3607237334,400.0
2025-06-02 14:30:21.704,27.367680681,48.1476958599,400.0
2025-06-02 14:35:21.704,27.4495791035,49.5441453229,400.0
2025-06-02 14:40:21.704,28.1162675029,50.5531313374,400.0
2025-06-02 14:45:21.704,27.676920440499998,47.4483937397,400.0
2025-06-02 14:50:21.704,28.8867927386,46.0902737313,400.0
2025-06-02 14:55:21.704,28.114892315,48.0481661706,400.0
2025-06-02 15:00:21.704,28.313544434,47.5075290837,400.0
2025-06-02 15:05:21.704,28.264306563,44.542014702,400.0
2025-06-02 15:10:21.704,27.8568718559,47.1322495556,400.0
2025-06-02 15:15:21.704,29.6289325426,49.420148438,400.0
2025-06-02 15:20:21.704,28.5542456499,45.1037360206,400.0
2025-06-02 15:25:21.704,28.1416755483,41.6902696145,400.0
2025-06-02 15:30:21.704,28.2934206187,48.5205388053,400.0
2025-06-02 15:35:21.704,29.0423589503,50.4248618739,400.0
2025-06-02 15:40:21.704,29.2696914808,44.3480706211,400.0
2025-06-02 15:45:21.704,29.5142953071,43.1552101239,400.0
2025-06-02 15:50:21.704,28.7705945982,46.8048268543,400.0
2025-06-02 15:55:21.704,28.4394054651,46.250985809,400.0
2025-06-02 16:00:21.704,29.1447326174,44.6035588514,400.0
2025-06-02 16:05:21.704,29.2045124887,42.5872868063,400.0
2025-06-02 16:10:21.704,28.9387424978,41.9016682188,400.0
2025-06-02 16:15:21.704,28.6854138575,45.6631756412,401.4213863859
2025-06-02 16:20:21.704,29.742913985,42.6841178545,406.8685802706
2025-06-02 16:25:21.704,29.0596408376,39.8394045911,400.0
2025-06-02 16:30:21.704,28.8059267583,40.3503769629,400.0
2025-06-02 16:35:21.704,29.3651540251,41.4818342431,400.0
2025-06-02 16:40:21.704,29.8290218369,42.0269130335,400.0
2025-06-02 16:45:21.704,29.4624215175,40.9467347997,415.0342356166
2025-06-02 16:50:21.704,29.7028578587,42.2248688377,400.0
2025-06-02 16:55:21.704,29.6858635255,45.6705486382,400.0
2025-06-02 17:00:21.704,29.893373853900002,40.3501867629,400.0
2025-06-02 17:05:21.704,29.6249449193,45.1207814607,422.0451428939
2025-06-02 17:10:21.704,31.422093067,46.294826194,417.5565447578
