Timestamp,Temperatura(C),Umidade(%),CO2(PPM)
2025-06-06 19:02:32.724,24,41,400
2025-06-06 19:07:33.031,25,40,400
2025-06-06 19:12:33.338,25,40,400
2025-06-06 19:17:33.644,25,40,400
2025-06-06 19:22:33.951,24,41,400
2025-06-06 19:27:34.258,24,41,400
2025-06-06 19:32:34.564,24,41,400
2025-06-06 19:37:34.874,24,41,400
2025-06-06 19:42:35.181,24,41,400
2025-06-06 19:47:35.488,24,41,400
2025-06-06 19:52:35.795,24,41,400
2025-06-06 19:57:36.102,24,41,400
2025-06-06 20:02:36.409,24,41,400
2025-06-06 20:07:36.715,24,41,400
2025-06-06 20:12:37.024,24,41,400
2025-06-06 20:17:37.331,24,41,400
2025-06-06 20:22:37.638,24,41,400
2025-06-06 20:27:37.944,24,41,400
2025-06-06 20:32:38.251,24,41,400
2025-06-06 20:37:38.558,24,41,400
2025-06-06 20:42:38.864,24,41,400
2025-06-06 20:47:39.171,24,41,400
2025-06-06 20:52:39.477,24,41,400
2025-06-06 20:57:39.781,24,41,400
2025-06-06 21:02:40.088,24,41,400
2025-06-06 21:07:40.394,24,41,400
2025-06-06 21:12:43.427,24,41,400
2025-06-06 21:17:43.734,24,41,400
2025-06-06 21:22:44.040,24,41,400
2025-06-06 21:27:44.347,24,41,400
2025-06-06 21:32:44.651,24,41,400
2025-06-06 21:37:44.957,24,41,400
2025-06-06 21:42:45.263,24,41,400
2025-06-06 21:47:45.569,24,41,400
2025-06-06 21:52:45.873,24,41,400
2025-06-06 21:57:46.179,24,41,400
2025-06-06 22:02:46.485,24,41,400
2025-06-06 22:07:46.791,24,41,400
2025-06-06 22:12:47.094,24,41,400
2025-06-06 22:17:47.401,24,41,400
2025-06-06 22:22:47.707,24,41,400
2025-06-06 22:27:48.011,24,41,400
2025-06-06 22:32:48.317,24,41,400
2025-06-06 22:37:48.623,24,41,400
2025-06-06 22:42:48.926,24,41,400
2025-06-06 22:47:49.232,24,41,400
2025-06-06 22:52:49.538,24,41,400
2025-06-06 22:57:49.842,24,41,400
2025-06-06 23:02:50.148,24,41,400
2025-06-06 23:07:50.454,24,41,400
2025-06-06 23:12:50.757,24,41,400
2025-06-06 23:17:51.063,24,41,400
2025-06-06 23:22:51.370,24,41,400
2025-06-06 23:27:51.673,24,41,400
2025-06-06 23:32:51.979,23,41,400
2025-06-06 23:37:52.282,24,41,400
2025-06-06 23:42:52.588,24,41,400
2025-06-06 23:47:52.894,23,41,400
2025-06-06 23:52:53.197,23,41,400
2025-06-06 23:57:53.504,23,41,400
2025-06-07 00:02:53.807,24,41,400
2025-06-07 00:07:54.113,23,41,400
2025-06-07 00:12:54.416,23,41,400
2025-06-07 00:17:54.722,23,41,400
2025-06-07 00:22:55.025,23,41,400
2025-06-07 00:27:55.331,23,41,400
2025-06-07 00:32:55.634,23,41,400
2025-06-07 00:37:55.940,23,41,400
2025-06-07 00:42:56.243,23,41,400
2025-06-07 00:47:56.549,23,41,400
2025-06-07 00:52:56.852,23,41,400
2025-06-07 00:57:57.158,23,41,400
2025-06-07 01:02:57.462,23,41,400
2025-06-07 01:07:57.767,23,41,400
2025-06-07 01:12:58.070,23,41,400
2025-06-07 01:17:58.376,23,41,400
2025-06-07 01:22:58.679,23,41,400
2025-06-07 01:27:58.985,23,41,400
2025-06-07 01:32:59.288,23,41,400
2025-06-07 01:37:59.591,23,41,400
2025-06-07 01:42:59.896,23,41,400
2025-06-07 01:48:00.199,23,41,400
2025-06-07 01:53:00.503,23,41,400
2025-06-07 01:58:00.808,23,41,400
2025-06-07 02:03:01.112,23,41,400
2025-06-07 02:08:01.417,23,41,400
2025-06-07 02:13:01.720,23,40,400
2025-06-07 02:18:02.023,23,40,400
2025-06-07 02:23:02.329,23,41,400
2025-06-07 02:28:02.631,23,40,400
2025-06-07 02:33:02.935,23,41,400
2025-06-07 02:38:03.240,23,40,400
